"file name
 (type_block_filter_image_output_params)","h5 size
[KB]",blocks,filter,image,output,params,"JeVois
Runtime
1344Hz [ms]","JeVois
Frames
1344Hz [fps]","JeVois
Runtime
408Hz [ms]","JeVois
Frames
408Hz [fps]","Sipeed
Runtime [ms]","Sipeed
Frames [fps]","Sipeed
Errors",
Conv2D_2_34_16_2_12480.h5 ,69.664,2,34,16,2,12480,4,200,11,71.3,0.22,4000,,
Conv2D_2_38_16_2_15316.h5 ,80.976,2,38,16,2,15316,4,198.5,11,71.7,0.25,3700,,
Conv2D_2_42_16_2_18440.h5 ,93.44,2,42,16,2,18440,4,187,12,67.2,0.27,3500,,
Conv2D_2_34_68_2_31044.h5 ,143.92,2,34,68,2,31044,34,27.4,100,9.5,2.9,342,,
Conv2D_3_34_68_2_26182.h5 ,127.928,3,34,38,2,16182,38,24.2,113,8.4,1.67,590,,
Conv2D_4_34_68_2_33356.h5 ,166.368,4,34,38,2,33356,40,23.5,117,8.2,1.5,656,,
Conv2D_2_38_68_2_36064.h5  ,163.928,2,38,68,2,36064,37,25.2,109,8.6,3.12,333,c,
Conv2D_3_38_68_2_31998.h5 ,151.144,2,38,68,2,31998,42,22.1,126,7.6,1.76,565,,
Conv2D_4_38_68_2_41384.h5 ,198.416,4,38,68,2,41384,44,21.4,130,7.3,1.57,630,,
Conv2D_2_42_68_2_41372.h5 ,185.136,2,42,68,2,41372,42,22.3,122,7.7,3.36,295,,
Conv2D_3_42_68_2_38390.h5 ,176.672,3,42,68,2,38390,47,19.7,140,11.7,1.85,527,,
Conv2D_4_42_68_2_50276.h5 ,233.928,4,42,120,2,50276,50,19.3,145,6.8,1.65,598,,
Conv2D_2_34_120_2_72592.h5 ,310.08,2,34,120,2,72592,95,10,280,5.3,5.8,172,,
Conv2D_3_34_120_2_37130.h5 ,171.728,3,34,120,2,37130,109,8.6,323,4.5,2.06,475,,
Conv2D_4_34_120_2_35600.h5 ,175.352,4,34,120,2,35600,112,8.6,332,4.3,1.1,890,,
Conv2D_2_38_120_2_82500.h5 ,349.68,2,38,120,2,82500,105,8.9,312,4,6.37,155,,
Conv2D_3_38_120_2_44234.h5 ,200.096,3,38,120,2,44234,122,7.8,366,2.8,2.29,333,c,
Conv2D_4_38_120_2_43892.h5 ,208.456,4,38,120,2,43892,125,7.6,372,3.8,1.22,790,,
Conv2D_2_42_120_2_92696.h5 ,390.432,2,42,120,2,92696,117,8.2,346,3.1,7.12,140,,
Conv2D_3_42_120_2_51914.h5 ,230.768,3,42,120,2,51914,136,7.2,405,3.4,2.53,390,,
Conv2D_4_42_120_2_53048.h5 ,245.016,4,42,120,2,53048,140,6.8,419,3.6,1.34,720,,
Conv2D_2_34_172_2_137124.h5 ,568.208,2,34,172,2,137124,198,4.9,582,2.6,17.92,55.8,,
Conv2D_3_34_172_2_51818.h5 ,230.48,3,34,172,2,51818,221,4.4,660,1.6,10.1,98,,
Conv2D_4_34_172_2_39068.h5 ,189.224,4,34,172,2,39068,228,4.3,682,1.8,8.28,121,,
Conv2D_5_34_172_2_44406.h5 ,212.392,5,34,172,2,44406,230,4.2,688,1.4,7.99,125,c,
Conv2D_2_38_172_2_154624.h5 ,638.176,2,38,172,2,154624,216,3.4,644,1.5,19.3,52,c,
Conv2D_3_38_172_2_60650.h5 ,265.76,3,38,172,2,60650,244,4,747,1.7,10.66,91,c,
Conv2D_4_38_172_2_47768.h5 ,223.96,4,38,172,2,47768,252,3.8,759,1.3,8.55,116,,
Conv2D_5_38_172_2_55102.h5 ,255.096,5,38,172,2,55102,255,3.8,766,1.3,8.23,125,c,
Conv2D_2_42_172_2_172412.h5 ,709.296,2,42,172,2,172412,241,4,716,1.7,20.48,49,,
Conv2D_3_42_172_2_70058.h5,303.344,3,42,172,2,70058,276,3.5,819,1.2,11.11,90,,
Conv2D_4_42_172_2_57332.h5 ,262.152,4,42,172,2,57332,287,3.4,848,1.2,8.85,112,,
Conv2D_5_42_172_2_66950.h5 ,302.424,5,42,172,2,66950,289,3.4,855,1.2,8.38,111,c,
Conv2D_2_34_224_2_224640.h5 ,918.272,2,34,224,2,224640,328,3,965,0.9,20.13,49,,
Conv2D_3_34_224_2_75142.h5 ,323.776,3,34,224,2,75142,370,2.6,1094,0.9,7.06,140,,
Conv2D_4_34_224_2_45596.h5 ,215.352,4,34,224,2,45596,381,2.6,1136,0.9,3.8,261,,
Conv2D_5_34_224_2_46038.h5 ,218.936,5,34,224,2,46038,385,2.6,1142,0.9,3,330,,
Conv2D_2_38_224_2_252436.h5 ,1029.424,2,38,224,2,252436,359,2.7,1069,0.9,22.42,44,,
Conv2D_3_38_224_2_86718.h5 ,370.032,3,38,224,2,86718,407,2.4,1217,0.8,7.84,126,,
Conv2D_4_38_224_2_55064.h5 ,253.16,4,38,224,2,55064,421,2.3,1265,0.8,4.19,236,,
Conv2D_5_38_224_2_56926.h5 ,262.408,5,38,224,2,56064,426,2.3,1275,0.8,3.32,300,,
Conv2D_2_42_224_2_280520.h5 ,1141.728,2,42,224,2,280520,399,2.4,1180,0.8,24.75,40,,
Conv2D_3_42_224_2_98870.h5 ,418.592,3,42,224,2,98870,455,2.2,1352,0.7,8.64,114,,
Conv2D_4_42_224_2_65396.h5 ,294.424,4,42,224,2,65396,472,2.1,1406,0.7,4.64,215,,
Conv2D_5_42_224_2_68966.h5 ,310.488,5,42,224,2,68966,477,2.1,1427,0.7,3.66,271,,
Conv2D_2_34_16_6_14660.h5 ,78.336,2,34,16,6,14660,4,199,11,71.2,0.24,3900,,
Conv2D_2_38_16_6_17752.h5 ,90.672,2,38,16,6,17752,4,201.2,11,72.8,0.26,3600,,
Conv2D_2_42_16_6_21132.h5 ,104.16,2,42,16,6,21132,4,189.6,12,68.3,0.29,3200,,
Conv2D_2_34_68_6_70352.h5 ,301.104,2,34,68,6,70352,34,27.1,100,9.4,4.34,228,,
Conv2D_3_34_68_6_34890.h5 ,162.752,3,34,68,6,34890,39,24.3,112,8.4,1.98,500,,
Conv2D_4_34_68_6_35536.h5 ,175.096,4,34,68,6,35536,40,23.4,117,8.5,1.52,652,,
Conv2D_2_38_68_6_79996.h5 ,339.648,2,38,68,6,79996,37,24.7,110,10.3,4.73,222,c,
Conv2D_3_38_68_6_41730.h5 ,190.064,3,38,68,6,41730,44,22.1,126,7.5,2.1,472,,
Conv2D_4_38_68_6_43820.h5 ,208.168,4,38,68,6,43820,44,21.6,131,8.2,1.59,623,,
Conv2D_2_42_68_6_89928.h5 ,379.344,2,42,68,6,89928,42,22.2,124,8.6,5.13,194,,
Conv2D_3_42_68_6_49146.h5 ,219.68,3,42,68,6,49146,47,18.7,140,6.8,2.23,445,,
Conv2D_4_42_68_6_52968.h5 ,244.696,4,42,68,6,52968,50,19.3,146,6.5,1.67,595,,
Conv2D_2_34_120_6_194996.h5 ,799.68,2,34,120,6,194996,98,9.8,282,4.2,10.14,98,,
Conv2D_3_34_120_6_67734.h5 ,294.128,3,34,120,6,67734,110,8.6,323,3.2,3.17,313,,
Conv2D_4_34_120_6_42268.h5 ,202.024,4,34,120,6,42268,113,8.3,337,2.9,1.34,730,,
Conv2D_2_38_120_6_219304.h5 ,896.88,2,38,120,6,219304,107,9,315,3.1,11.59,85,,
Conv2D_3_38_120_6_78438.h5 ,336.896,3,38,120,6,78438,121,7.8,364,2.8,3.54,333,c,
Conv2D_4_38_120_6_51344.h5 ,238.264,4,38,120,6,51344,124,7.6,377,4.3,1.48,660,,
Conv2D_2_42_120_6_243900.h5 ,995.232,2,42,120,6,243900,120,7.8,351,4.7,12.47,80,,
Conv2D_3_42_120_6_89718.h5 ,381.968,3,42,120,6,89718,136,7,401,3.7,3.91,256,,
Conv2D_4_42_120_6_61284.h5 ,277.96,4,42,120,6,61284,141,6.8,421,5.2,1.63,603,,
Conv2D_2_34_172_6_388592.h5 ,1574.064,2,34,172,6,388592,200,4.8,585,1.7,27.14,37,,
Conv2D_3_34_172_6_111798.h5 ,470.384,3,34,172,6,111798,221,4.4,661,1.6,12.37,80,,
Conv2D_4_34_172_6_52672.h5 ,243.64,4,34,172,6,52672,229,4.2,682,1.4,8.75,114,,
Conv2D_5_34_172_6_47810.h5 ,226.008,5,34,172,6,47810,230,4.2,686,1.4,7.99,125,c,
Conv2D_2_38_172_6_435676.h5 ,1762.368,2,38,172,6,435676,221,4.4,649,1.5,29.65,34,c,
Conv2D_3_38_172_6_127686.h5 ,533.888,3,38,172,6,127686,247,3.9,737,1.3,13.12,77,c,
Conv2D_4_38_172_6_62972.h5 ,284.776,4,38,172,6,62972,253,3.9,759,1.3,9.1,110,,
Conv2D_5_38_172_6_58906.h5 ,270.312,5,38,172,6,58906,257,3.8,764,1.3,8.23,125,c,
Conv2D_2_42_172_6_483048.h5 ,1951.824,2,42,172,6,483048,247,3.9,725,1.4,32.4,31,,
Conv2D_3_42_172_6_144150.h5 ,599.696,3,42,172,6,144150,277,3.5,822,1.2,13.94,71,,
Conv2D_4_42_172_6_74136.h5 ,329.368,4,42,172,6,74136,284,3.4,850,1.2,9.43,106,,
Conv2D_5_42_172_6_71154.h5 ,319.224,5,42,172,6,71154,285,3.4,860,1.2,8.53,125,c,
Conv2D_2_34_224_6_651140.h5 ,2624.256,2,34,224,6,651140,335,2.9,973,1,36.1,28,,
Conv2D_3_34_224_6_181770.h5 ,750.272,3,34,224,6,181770,370,2.6,1095,0.9,11.05,90,,
Conv2D_4_34_224_6_72256.h5  ,321.976,4,34,224,6,72256,382,2.6,1140,0.9,4.73,210,,
Conv2D_5_34_224_6_52706.h5 ,245.592,5,34,224,6,52706,382,2.6,1142,0.9,3.24,305,,
Conv2D_3_38_224_6_205890.h5 ,846.704,3,38,224,6,205890,407,2.4,1223,0.8,12.3,80,,
Conv2D_4_38_224_6_84860.h5 ,372.328,4,38,224,6,84860,422,2.3,1268,0.8,5.3,188,,
Conv2D_5_38_224_6_64378.h5 ,292.2,5,38,224,6,64378,425,2.3,1274,0.8,3.58,276,,
Conv2D_3_42_224_6_230586.h5 ,945.44,3,42,224,6,230586,457,2.1,1366,0.7,13.62,73,,
Conv2D_4_42_224_6_98328.h5 ,426.136,4,42,224,6,98328,474,2.1,1415,0.7,5.8,170,,
Conv2D_5_42_224_6_77202.h5 ,343.416,5,42,224,6,77202,475,2.1,1423,0.7,3.95,252,,
Conv2D_2_34_16_10_16840.h5 ,87.04,2,34,16,10,16840,4,202,11,71.9,0.25,3500,,
Conv2D_2_38_16_10_20188.h5 ,100.4,2,38,16,10,20188,4,201.7,11,72.3,0.25,3600,,
Conv2D_2_42_16_10_23824.h5 ,114.912,2,42,16,10,23824,4,188.3,12,67.4,0.31,3000,,
Conv2D_2_34_68_10_109660.h5 ,458.32,2,34,68,10,109660,35,26.8,100,9.5,5.78,173,,
Conv2D_3_34_68_10_43598.h5 ,197.568,3,34,68,10,43598,39,24.5,112,8.4,2.28,435,,
Conv2D_4_34_68_10_37716.h5 ,183.8,4,34,68,10,37716,41,23.5,116,9.1,1.53,640,,
Conv2D_2_38_68_10_123928.h5 ,515.36,2,38,68,10,123928,39,24.4,113,9,6.37,166,c,
Conv2D_3_38_68_10_51462.h5 ,228.976,3,38,68,10,51462,42,22.1,125,7.5,2.45,405,,
Conv2D_4_38_68_10_46256.h5 ,217.896,4,38,68,10,46256,44,21.6,130,7.3,1.61,610,,
Conv2D_2_42_68_10_138484.h5 ,573.552,2,42,68,10,138484,43,22,125,7.6,6.95,144,,
Conv2D_3_42_68_10_59902.h5 ,262.688,3,42,68,10,59902,47,19.7,140,6.8,2.61,378,,
Conv2D_4_42_68_10_55660.h5 ,255.448,4,42,68,10,55660,50,19.1,145,6.5,1.69,582,,
Conv2D_2_34_120_10_317400.h5 ,1289.28,2,34,120,10,317400,101,9.2,288,3.3,14.97,67,,
Conv2D_3_34_120_10_98338.h5 ,416.528,3,34,120,10,98338,110,8.6,324,3.3,4.28,230,,
Conv2D_4_34_120_10_48936.h5 ,228.68,4,34,120,10,48936,113,8.6,332,2.9,1.57,630,,
Conv2D_2_38_120_10_356108.h5 ,1444.08,2,38,120,10,356108,109,8.8,319,3.2,16.21,62,,
Conv2D_3_38_120_10_112642.h5 ,473.696,3,38,120,10,112642,121,7.8,361,2.7,4.8,200,c,
Conv2D_4_38_120_10_58796.h5 ,268.056,4,38,120,10,58796,125,7.6,373,2.6,1.74,567,,
Conv2D_2_42_120_10_395104.h5  ,1600.032,2,42,120,10,395104,122,8,352,2.7,18.51,54,,
Conv2D_3_42_120_10_127522.h5 ,533.168,3,42,120,10,127522,135,7.2,405,2.4,5.31,187,,
Conv2D_4_42_120_10_69520.h5 ,310.888,4,42,120,10,69520,140,6.8,420,2.3,1.91,518,,
Conv2D_2_34_172_10_640060.h5 ,2579.92,2,34,172,10,640060,205,4.7,593,1.8,36.58,27,,
Conv2D_3_34_172_10_171778.h5 ,710.288,3,34,172,10,171778,223,4.3,665,1.5,14.61,68,,
Conv2D_4_34_172_10_66276.h5 ,298.04,4,34,172,10,66276,233,4.2,683,1.6,9.24,107,,
Conv2D_5_34_172_10_51214.h5 ,239.608,5,34,172,10,51214,233,4.2,688,1.8,7.99,125,c,
Conv2D_2_38_172_10_716728.h5 ,2886.56,2,38,172,10,716728,224,4.2,657,1.5,40.12,25,c,
Conv2D_3_38_172_10_194722.h5 ,802.016,3,38,172,10,194722,247,3.9,737,1.3,15.63,64,c,
Conv2D_4_38_172_10_78176.h5 ,345.576,4,38,172,10,78176,255,3.8,762,1.3,9.61,103,,
Conv2D_5_38_172_10_62710.h5 ,285.512,5,38,172,10,62710,256,3.8,761,1.4,8.24,125,c,
Conv2D_3_42_172_10_218242.h5 ,896.048,3,42,172,10,218242,277,3.5,822,1.2,16.66,59,,
Conv2D_4_42_172_10_90940.h5  ,396.568,4,42,172,10,90940,287,3.4,850,1.2,10.05,99,,
Conv2D_5_42_172_10_75358.h5 ,336.024,5,42,172,10,75358,290,3.4,851,1.2,8.67,111,c,
Conv2D_3_34_224_10_288398.h5 ,1176.768,3,34,224,10,288398,372,2.6,1099,0.9,15.05,66,,
Conv2D_4_34_224_10_98916.h5 ,428.6,4,34,224,10,98916,382,2.6,1136,0.9,5.75,170,,
Conv2D_5_34_224_10_59374.h5 ,272.248,5,34,224,10,59374,386,2.5,1139,0.9,3.47,288,,
Conv2D_3_38_224_10_325062.h5  ,1323.376,3,38,224,10,325062,411,2.4,1225,0.8,16.76,59,,
Conv2D_4_38_224_10_114656.h5 ,491.496,4,38,224,10,114656,423,2.3,1264,0.8,6.31,158,,
Conv2D_5_38_224_10_71830.h5 ,321.992,5,38,224,10,71830,425,2.3,1270,0.8,3.84,260,,
Conv2D_3_42_224_10_362302.h5 ,1472.288,3,42,224,10,362302,462,2.1,1362,0.7,18.55,53,,
Conv2D_4_42_224_10_131260.h5 ,557.848,4,42,224,10,131260,474,2.1,1413,0.7,7.07,140,,
Conv2D_5_42_224_10_85438.h5 ,376.344,5,42,224,10,85438,475,2.1,1416,0.7,4.23,234,,
,,,,,,,,,,,,,,c: crash
,,,,,,,,,,,,,,o: memory overload
