"file name
 (type_block_filter_image_output_params)","h5 size
[KB]",blocks,image,output,params,"JeVois
Runtime
1344Hz [ms]","JeVois
Frames
1344Hz [fps]","JeVois
Runtime
408Hz [ms]","JeVois
Frames
408Hz [fps]","Sipeed
Runtime [ms]","Sipeed
Frames [fps]"
DepthwiseConv2D_1_x_64_2_6176.h5,40.848,1,64,2,6176,3,215.7,10,75.9,1.38,710
DepthwiseConv2D_2_x_64_2_1598.h5,26.176,2,64,2,1598,4,187.5,13,64.4,1.37,720
DepthwiseConv2D_3_x_64_2_476.h5 ,23.704,3,64,2,476,4,181.5,14,62,1.28,770
DepthwiseConv2D_4_x_64_2_218.h5,31.984,4,64,2,218,4,180.2,13,61.4,1.28,760
DepthwiseConv2D_1_x_96_2_13856.h5,71.736,1,96,2,13856,7,97.3,23,32.3,3.35,295
DepthwiseConv2D_2_x_96_2_3518.h5,33.896,2,96,2,3518,9,84.6,29,27.5,2.98,333
DepthwiseConv2D_3_x_96_2_956.h5,27.344,3,96,2,956,10,82,30,26.5,3.01,329
DepthwiseConv2D_4_x_96_2_338.h5,31.984,4,96,2,338,10,91.2,30,26.3,3.02,328
DepthwiseConv2D_1_x_128_2_24608.h5,114.744,1,128,2,24608,13,67.3,41,22.2,5.59,178
DepthwiseConv2D_2_x_128_2_6206.h5,44.656,2,128,2,6206,16,56.9,51,18.4,5.03,198
DepthwiseConv2D_3_x_128_2_1628.h5,30.04,3,128,2,1628,17,54.7,54,17.6,4.87,203
DepthwiseConv2D_4_x_128_2_506.h5,31.992,4,128,2,506,17,54.1,54,17.4,4.83,205
DepthwiseConv2D_5_x_128_2_248.h5,35.664,5,128,2,248,17,54.1,54,17.4,4.83,206
DepthwiseConv2D_1_x_160_2_38432.h5,169.912,1,160,2,38432,20,42.4,65,13.8,9.31,107
DepthwiseConv2D_2_x_160_2_9662.h5,58.48,2,160,2,9662,25,35.6,80,11.4,8.15,122
DepthwiseConv2D_3_x_160_2_2492.h5,33.496,3,160,2,2492,26,34.4,83,12.7,8.05,124
DepthwiseConv2D_4_x_160_2_722.h5,36.064,4,160,2,722,26,34.1,85,10.9,8.26,121
DepthwiseConv2D_5_x_160_2_302.h5,35.664,5,192,2,302,26,34,84,10.8,8.2,121
DepthwiseConv2D_1_x_192_2_55328.h5,237.496,1,192,2,55328,30,29.7,94,9.7,12.66,78
DepthwiseConv2D_2_x_192_2_13886.h5,75.376,2,192,2,13886,36,25.2,115,8.1,11.25,88
DepthwiseConv2D_3_x_192_2_3548.h5,37.72,3,192,2,3548,37,24.3,120,10.3,10.79,92
DepthwiseConv2D_4_x_192_2_986.h5,37.12,4,192,2,986,38,24,122,9.6,10.6,94
DepthwiseConv2D_5_x_192_2_368.h5,35.664,5,192,2,368,38,23.9,122,8.6,10.59,94
DepthwiseConv2D_1_x_224_2_75296.h5 ,317.368,1,224,2,75296,41,21.7,127,8,17.81,56
DepthwiseConv2D_2_x_224_2_18878.h5,95.344,2,224,2,18878,49,18.3,157,11.2,15.77,63
DepthwiseConv2D_3_x_224_2_4796.h5,42.712,3,224,2,4796,51,17.2,164,6.4,15.96,62
DepthwiseConv2D_4_x_224_2_1298.h5,38.368,4,224,2,1298,51,17.5,166,6.5,15.73,63
DepthwiseConv2D_5_x_224_2_446.h5,35.664,5,224,2,446,52,17,166,8.7,15.83,62
DepthwiseConv2D_1_x_64_18_55344.h5,237.496,1,64,18,55344,4,194.4,11,71.5,3.14,317
DepthwiseConv2D_2_x_64_18_13902.h5,75.376,2,64,18,13902,4,186.7,13,64.3,1.46,675
DepthwiseConv2D_3_x_64_18_3564.h5,37.72,3,64,18,3564,5,184.2,14,62.5,1.31,740
DepthwiseConv2D_4_x_64_18_1002.h5,37.12,4,64,18,1002,5,182.9,14,62.1,1.29,760
DepthwiseConv2D_1_x_96_18_124464.h5,513.976,1,96,18,124464,9,85.8,26,29.9,7.35,135
DepthwiseConv2D_2_x_96_18_31182.h5,144.496,2,96,18,31182,10,82.9,29,27.2,3.96,251
DepthwiseConv2D_3_x_96_18_7884.h5,55,3,96,18,7884,10,82.1,30,26.6,3.04,326
DepthwiseConv2D_4_x_96_18_2082.h5,39.824,4,96,18,2082,10,81.9,31,26.4,3,329
DepthwiseConv2D_1_x_128_18_221232.h5,901.048,1,128,18,221232,16,56.6,47,20.1,12.82,77
DepthwiseConv2D_2_x_128_18_55374.h5,241.264,2,128,18,55374,17,55.4,52,18.1,6.69,150
DepthwiseConv2D_3_x_128_18_13932.h5,79.2,3,128,18,13932,17,54.8,53,17.6,5.01,196
DepthwiseConv2D_4_x_128_18_3594.h5,45.872,4,128,18,3594,17,54.5,54,17.5,4.86,205
DepthwiseConv2D_5_x_128_18_1032.h5,39.128,5,128,18,1032,17,54.6,54,17.4,4.82,206
DepthwiseConv2D_1_x_160_18_345648.h5,1398.712,1,160,18,345648,25,36,72,12.6,20.65,48
DepthwiseConv2D_2_x_160_18_86478.h5 ,365.68,2,160,18,86478,26,34.7,81,11.3,11.15,89
DepthwiseConv2D_3_x_160_18_21708.h5,110.304,3,160,18,21708,26,34.2,84,10.9,8.63,115
DepthwiseConv2D_4_x_160_18_5538.h5,53.648,4,160,18,5538,26,34.1,84,10.8,8.16,122
DepthwiseConv2D_5_x_160_18_1518.h5,41.072,5,160,18,1518,26,34.1,83,10.7,8.2,121
DepthwiseConv2D_1_x_192_18_497712.h5,2006.968,1,192,18,497712,36,25.2,104,11.9,29.05,34
DepthwiseConv2D_2_x_192_18_124494.h5 ,517.744,2,192,18,124494,37,24.4,118,7.9,14.91,67
DepthwiseConv2D_3_x_192_18_31212.h5,148.32,3,192,18,31212,37,24.2,121,9.4,11.89,84
DepthwiseConv2D_4_x_192_18_7914.h5,63.152,4,192,18,7914,38,24,122,7.8,10.79,92
DepthwiseConv2D_5_x_192_18_2112.h5,43.448,5,192,18,2112,38,24,122,7.6,10.67,93
DepthwiseConv2D_1_x_224_18_677424.h5,2725.816,1,224,18,677424,49,16.5,143,6.4,40.72,24
DepthwiseConv2D_2_x_224_18_169422.h5,697.456,2,224,18,169422,51,17,161,5.8,21.55,46
DepthwiseConv2D_3_x_224_18_42444.h5,193.248,3,224,18,42444,51,17.5,165,5.6,16.83,59
DepthwiseConv2D_4_x_224_18_10722.h5,74.384,4,224,18,10722,52,17.4,166,5.6,15.95,62
DepthwiseConv2D_5_x_224_18_2814.h5,46.256,5,224,18,2814,51,17.3,167,5.6,15.71,63
DepthwiseConv2D_1_x_64_34_104512.h5,434.104,1,64,34,104512,5,173.3,13,66.3,4.87,204
